[2018-11-22 11:49:53] ; View::view,行:63; parts/showImgs
[2018-11-22 11:49:53] ; View::view,行:63; parts/footer
[2018-11-22 11:59:00] ; ,行:19; 設定開始
[2018-11-22 11:59:00] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:00] ; ,行:23; 設定完了
[2018-11-22 11:59:00] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:00] ; ,行:25; URL:/
[2018-11-22 11:59:00] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:00] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:59:00] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:00] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:00] ; View::view,行:63; index
[2018-11-22 11:59:00] ; View::view,行:63; parts/header
[2018-11-22 11:59:00] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:00] ; View::view,行:63; parts/product
[2018-11-22 11:59:00] ; View::view,行:63; parts/news
[2018-11-22 11:59:00] ; View::view,行:63; parts/showImgs
[2018-11-22 11:59:00] ; View::view,行:63; parts/footer
[2018-11-22 11:59:01] ; ,行:19; 設定開始
[2018-11-22 11:59:01] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:01] ; ,行:23; 設定完了
[2018-11-22 11:59:01] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:01] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:59:01] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:01] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:59:01] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:01] ; Dispatch::excute,行:37; public
[2018-11-22 11:59:01] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:01] ; View::view,行:63; index
[2018-11-22 11:59:01] ; View::view,行:63; parts/header
[2018-11-22 11:59:01] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:01] ; View::view,行:63; parts/product
[2018-11-22 11:59:01] ; View::view,行:63; parts/news
[2018-11-22 11:59:01] ; View::view,行:63; parts/showImgs
[2018-11-22 11:59:01] ; View::view,行:63; parts/footer
[2018-11-22 11:59:26] ; ,行:19; 設定開始
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; ,行:23; 設定完了
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; ,行:25; URL:/
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:59:26] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:26] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:26] ; View::view,行:63; index
[2018-11-22 11:59:26] ; View::view,行:63; parts/header
[2018-11-22 11:59:26] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:26] ; View::view,行:63; parts/product
[2018-11-22 11:59:26] ; View::view,行:63; parts/news
[2018-11-22 11:59:26] ; View::view,行:63; parts/showImgs
[2018-11-22 11:59:26] ; View::view,行:63; parts/footer
[2018-11-22 11:59:26] ; ,行:19; 設定開始
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; ,行:23; 設定完了
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:59:26] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:26] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:59:26] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:26] ; Dispatch::excute,行:37; public
[2018-11-22 11:59:26] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:26] ; View::view,行:63; index
[2018-11-22 11:59:26] ; View::view,行:63; parts/header
[2018-11-22 11:59:26] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:26] ; View::view,行:63; parts/product
[2018-11-22 11:59:26] ; View::view,行:63; parts/news
[2018-11-22 11:59:26] ; View::view,行:63; parts/showImgs
[2018-11-22 11:59:26] ; View::view,行:63; parts/footer
[2018-11-22 11:59:27] ; ,行:19; 設定開始
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; ,行:23; 設定完了
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; ,行:25; URL:/
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; Dispatch::excute,行:26; [0=>, 1=>]
[2018-11-22 11:59:27] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:27] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:27] ; View::view,行:63; index
[2018-11-22 11:59:27] ; View::view,行:63; parts/header
[2018-11-22 11:59:27] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:27] ; View::view,行:63; parts/product
[2018-11-22 11:59:27] ; View::view,行:63; parts/news
[2018-11-22 11:59:27] ; View::view,行:63; parts/showImgs
[2018-11-22 11:59:27] ; View::view,行:63; parts/footer
[2018-11-22 11:59:27] ; ,行:19; 設定開始
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; ,行:23; 設定完了
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; ,行:25; URL:/public/css/bootstrap.css.map
[2018-11-22 11:59:27] ; Request::__construct,行:8; Request生成
[2018-11-22 11:59:27] ; Dispatch::excute,行:26; [0=>, 1=>public, 2=>css, 3=>bootstrap.css.map]
[2018-11-22 11:59:27] ; Dispatch::excute,行:28; is not false
[2018-11-22 11:59:27] ; Dispatch::excute,行:37; public
[2018-11-22 11:59:27] ; Dispatch::excute,行:47; null
[2018-11-22 11:59:27] ; View::view,行:63; index
[2018-11-22 11:59:27] ; View::view,行:63; parts/header
[2018-11-22 11:59:27] ; View::view,行:63; parts/bxslider
[2018-11-22 11:59:27] ; View::view,行:63; parts/product
